Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1708993081212,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,80583867,668270863,572517215,3417407,8463335424,7247757312,3715170304,0
200,1708993081213,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,80583951,668272226,572518610,3417407,8463335424,7247757312,3715170304,0
200,1708993081413,2592,2592,2592,2592,2592,2592,2592,2592,13.256370544433594,8.940414428710938,75.05235290527344,6.690040588378906,14.725440979003906,6.5651092529296875,8.59930419921875,18.77684783935547,80586249,668321311,572563135,3417450,8463335424,7247757312,3718139904,0
193,1708993081621,2592,2592,2592,2592,2592,2592,2592,2592,4.737579345703125,5.476219177246094,64.75602722167969,2.0020828247070313,8.631980895996094,0,3.4881973266601563,7.6763916015625,80588620,668362324,572599373,3417450,8463335424,7247757312,3740499968,0
200,1708993081814,2592,2592,2592,2592,2592,2592,2592,2592,2.9574127197265625,2.5370407104492188,8.875869750976563,2.5311050415039063,3.0719223022460938,2.6885757446289063,2.748046875,3.4557647705078125,80590297,668367641,572602134,3417489,8463335424,7247757312,3740020736,0
200,1708993082015,2592,2592,2592,2592,2592,2592,2592,2592,0.257659912109375,7.490203857421875,2.9347686767578125,0.49222564697265625,0.18231964111328125,0.1378631591796875,0.5931625366210938,0.27008819580078125,80592110,668371107,572604246,3417489,8463335424,7247757312,3745107968,0
200,1708993082215,2592,2592,2592,2592,2592,2592,2592,2592,17.464195251464844,6.697090148925781,53.81510925292969,5.369865417480469,23.269638061523438,3.6036300659179688,18.522842407226563,6.620094299316406,80594636,668405183,572634833,3417489,8463335424,7247757312,3752222720,0
200,1708993082416,2592,2592,2592,2592,2592,2592,2592,2592,75.76390075683594,74.28982543945313,82.5843505859375,72.74034881591797,82.19366455078125,70.71113586425781,77.61396026611328,69.84339904785156,80599900,668503851,572728047,3417617,8463335424,7247757312,3825516544,0
200,1708993082616,2592,2592,2592,2592,2592,2592,2592,2592,82.91607666015625,75.7681884765625,86.34432220458984,78.75001525878906,80.41816711425781,66.94181823730469,79.61560821533203,78.33303833007813,80605948,668601912,572818274,3419579,8463335424,7247757312,3919818752,0
199,1708993082816,2592,2592,2592,2592,2592,2592,2592,2592,49.118927001953125,28.304359436035156,41.25465393066406,23.91606903076172,59.72709655761719,26.949607849121094,66.99494934082031,22.891822814941406,80610006,668675631,572885199,3421339,8463335424,7247757312,3944701952,0
200,1708993083016,2592,2592,2592,2592,2592,2592,2592,2592,8.619277954101563,2.7506103515625,8.174789428710938,2.7486114501953125,8.843246459960938,1.2871170043945313,100,1.1869277954101563,80612142,668726065,572931078,3421532,8463335424,7247757312,3954675712,0
200,1708993083217,2592,2592,2592,2592,2592,2592,2592,2592,47.24686813354492,21.46051025390625,38.750511169433594,36.266456604003906,49.40740203857422,27.994537353515625,50.21396255493164,26.39710235595703,80615615,668799078,572998482,3422214,8463335424,7247757312,3974488064,0
200,1708993083418,2592,2592,2592,2592,2592,2592,2592,2592,16.039138793945313,5.447662353515625,14.286354064941406,15.692062377929688,6.9012298583984375,85.26506042480469,16.814285278320313,9.169090270996094,80618858,668854879,573048606,3423072,8463335424,7247757312,3974971392,0
200,1708993083618,2592,2592,2592,2592,2592,2592,2592,2592,46.659873962402344,25.24005126953125,37.674949645996094,34.59342956542969,44.70212936401367,66.74016571044922,48.03691101074219,34.27130889892578,80623039,668932913,573120353,3424028,8463335424,7247757312,4004728832,0
201,1708993083819,2592,2592,2592,2592,2592,2592,2592,2592,53.704322814941406,17.352012634277344,24.870887756347656,35.10558319091797,28.89221954345703,56.29954147338867,28.94641876220703,19.18865203857422,80626764,669004090,573185979,3424749,8463335424,7247757312,4034433024,0
200,1708993084020,2592,2592,2592,2592,2592,2592,2592,2592,12.999465942382813,10.290618896484375,17.039749145507813,16.564926147460938,9.604743957519531,65.86697387695313,38.54172897338867,19.49437713623047,80629803,669066138,573243020,3424804,8463335424,7247757312,4064145408,0
200,1708993084221,2592,2592,2592,2592,2592,2592,2592,2592,26.807632446289063,21.97357177734375,24.406211853027344,24.746749877929688,24.758956909179688,91.71440124511719,29.981727600097656,23.938201904296875,80632940,669134565,573306895,3424940,8463335424,7247757312,4075429888,0
200,1708993084421,2592,2592,2592,2592,2592,2592,2592,2592,26.73442840576172,8.197715759277344,12.283287048339844,24.88855743408203,10.753402709960938,35.75535583496094,48.129249572753906,9.473785400390625,80635844,669194502,573361804,3425063,8463335424,7247757312,4090310656,0
