Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1708990607801,2592,2592,2592,2592,2592,2592,2592,2592,25.740882873535156,9.093292236328125,37.10334396362305,11.295967102050781,13.012062072753906,12.394424438476563,36.057315826416016,20.653961181640625,56407677,491158240,419959449,2612840,8463335424,7247757312,3292196864,0
200,1708990607801,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,56407750,491159069,419960235,2612840,8463335424,7247757312,3291418624,0
192,1708990608008,2592,2592,2592,2592,2592,2592,2592,2592,2.8323898315429688,3.9562301635742188,73.7514877319336,0.11919403076171875,6.19805908203125,0,17.75030517578125,0.9550094604492188,56410172,491208950,420005659,2612877,8463335424,7247757312,3293384704,0
200,1708990608201,2592,2592,2592,2592,2592,2592,2592,2592,10.891044616699219,17.887985229492188,68.89633178710938,9.884597778320313,18.26544952392578,5.847969055175781,17.721023559570313,8.7216796875,56412502,491248833,420040913,2612877,8463335424,7247757312,3308777472,0
200,1708990608402,2592,2592,2592,2592,2592,2592,2592,2592,0,0,8.394027709960938,0,0.3017578125,0,0,0,56414257,491255772,420045101,2612901,8463335424,7247757312,3308331008,0
200,1708990608602,2592,2592,2592,2592,2592,2592,2592,2592,0.5501022338867188,0.21221923828125,2.8022079467773438,0.11209869384765625,0.9782333374023438,0.220703125,0.30376434326171875,0.15938568115234375,56415940,491257147,420045366,2612901,8463335424,7247757312,3308294144,0
200,1708990608803,2592,2592,2592,2592,2592,2592,2592,2592,16.224510192871094,4.8194427490234375,35.17052459716797,5.813720703125,19.841262817382813,6.861595153808594,18.21649932861328,6.658363342285156,56418269,491285253,420070339,2612901,8463335424,7247757312,3326070784,0
200,1708990609003,2592,2592,2592,2592,2592,2592,2592,2592,72.99038696289063,66.31770324707031,86.90247344970703,62.628562927246094,75.73561096191406,65.73667907714844,69.4635238647461,64.46757507324219,56423332,491378679,420158575,2613022,8463335424,7247757312,3393331200,0
199,1708990609204,2592,2592,2592,2592,2592,2592,2592,2592,85.7995834350586,78.48653411865234,83.43138122558594,91.11492919921875,83.17045593261719,76.63108825683594,81.69499206542969,77.73075866699219,56429209,491477854,420250431,2614625,8463335424,7247757312,3483602944,0
200,1708990609404,2592,2592,2592,2592,2592,2592,2592,2592,36.063846588134766,42.790374755859375,78.39299011230469,25.168685913085938,34.95176696777344,29.29168701171875,43.71938705444336,24.2843017578125,56433399,491550479,420316092,2616499,8463335424,7247757312,3514077184,0
