Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1708992110208,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,71105978,599308338,513146775,3104711,8463335424,7247757312,3651600384,0
200,1708992110209,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,71106061,599309671,513148111,3104711,8463335424,7247757312,3652722688,0
200,1708992110409,2592,2592,2592,2592,2592,2592,2592,2592,2.6377105712890625,0.5680694580078125,72.18634033203125,5.365470886230469,5.09381103515625,1.1961822509765625,5.043464660644531,12.416862487792969,71108329,599358566,513192457,3104735,8463335424,7247757312,3658321920,0
192,1708992110617,2592,2592,2592,2592,2592,2592,2592,2592,7.519775390625,1.3102493286132813,55.64217758178711,6.847503662109375,9.37249755859375,4.110313415527344,6.059028625488281,8.224472045898438,71110852,599398000,513227368,3104735,8463335424,7247757312,3678109696,0
200,1708992110810,2592,2592,2592,2592,2592,2592,2592,2592,3.19390869140625,2.7564163208007813,16.44330596923828,2.7677459716796875,3.120513916015625,2.95684814453125,2.8774642944335938,3.5221786499023438,71112555,599405213,513232204,3104757,8463335424,7247757312,3680067584,0
200,1708992111011,2592,2592,2592,2592,2592,2592,2592,2592,0.37172698974609375,0.16742706298828125,3.4587554931640625,0.2661590576171875,0.17356109619140625,0.20983123779296875,2.0413131713867188,0.34732818603515625,71114253,599406724,513232532,3104760,8463335424,7247757312,3677802496,0
200,1708992111211,2592,2592,2592,2592,2592,2592,2592,2592,21.208885192871094,2.0957260131835938,45.748409271240234,2.2459793090820313,25.868988037109375,6.978385925292969,11.208686828613281,3.7244949340820313,71116774,599440475,513263028,3104760,8463335424,7247757312,3684368384,0
199,1708992111412,2592,2592,2592,2592,2592,2592,2592,2592,76.5579605102539,67.01920318603516,88.7398452758789,77.37602233886719,76.87284851074219,72.4335708618164,73.79784393310547,69.37736511230469,71121975,599538115,513354878,3104904,8463335424,7247757312,3760312320,0
200,1708992111612,2592,2592,2592,2592,2592,2592,2592,2592,84.00860595703125,78.94959259033203,85.9550552368164,81.70881652832031,79.18992614746094,75.42315673828125,78.51133728027344,79.59066772460938,71127962,599636136,513445370,3106994,8463335424,7247757312,3855331328,0
200,1708992111812,2592,2592,2592,2592,2592,2592,2592,2592,37.60295104980469,36.621219635009766,40.2994499206543,39.04215621948242,35.13169860839844,40.531131744384766,33.393089294433594,16.756309509277344,71131922,599709380,513511446,3108765,8463335424,7247757312,3879485440,0
199,1708992112013,2592,2592,2592,2592,2592,2592,2592,2592,28.705589294433594,1.3279190063476563,7.722114562988281,4.398216247558594,4.035133361816406,76.21708679199219,6.230323791503906,2.9961090087890625,71134029,599759794,513557201,3108943,8463335424,7247757312,3879878656,0
199,1708992112213,2592,2592,2592,2592,2592,2592,2592,2592,58.50287628173828,21.752174377441406,34.39776611328125,29.11260223388672,38.92821502685547,30.556663513183594,42.95458221435547,32.781982421875,71137433,599830457,513622417,3109650,8463335424,7247757312,3905445888,0
204,1708992112413,2592,2592,2592,2592,2592,2592,2592,2592,18.196014404296875,5.500068664550781,16.015853881835938,7.6107940673828125,55.419437408447266,5.3253631591796875,25.976173400878906,32.302085876464844,71140669,599885511,513671879,3110476,8463335424,7247757312,3904327680,0
200,1708992112617,2592,2592,2592,2592,2592,2592,2592,2592,41.98939895629883,34.008888244628906,41.849849700927734,35.62190246582031,44.057716369628906,23.867996215820313,38.146785736083984,68.39749145507813,71144991,599964877,513745084,3111389,8463335424,7247757312,3955195904,0
199,1708992112818,2592,2592,2592,2592,2592,2592,2592,2592,64.58229064941406,19.193191528320313,29.195472717285156,37.23269271850586,31.2239990234375,20.805381774902344,23.061569213867188,40.33275604248047,71148700,600034165,513808729,3112228,8463335424,7247757312,3969617920,0
200,1708992113018,2592,2592,2592,2592,2592,2592,2592,2592,27.583084106445313,21.566879272460938,16.101531982421875,19.603744506835938,11.768196105957031,7.378929138183594,8.043861389160156,62.80730438232422,71151485,600095541,513865298,3112304,8463335424,7247757312,4001624064,0
199,1708992113219,2592,2592,2592,2592,2592,2592,2592,2592,56.80421447753906,22.387351989746094,28.143310546875,25.684768676757813,25.17841339111328,23.373374938964844,23.43109893798828,68.48333740234375,71154736,600165881,513930716,3112453,8463335424,7247757312,4012109824,0
200,1708992113419,2592,2592,2592,2592,2592,2592,2592,2592,56.39091491699219,35.31842041015625,37.366188049316406,31.30158233642578,66.56684875488281,17.515090942382813,23.463600158691406,40.349365234375,71158347,600240430,514000171,3112614,8463335424,7247757312,3929714688,0
200,1708992113620,2592,2592,2592,2592,2592,2592,2592,2592,23.766586303710938,7.1197509765625,11.230705261230469,19.232826232910156,30.177993774414063,5.605140686035156,12.761947631835938,61.601139068603516,71161461,600299414,514054088,3112800,8463335424,7247757312,3947962368,0
200,1708992113820,2592,2592,2592,2592,2592,2592,2592,2592,6.908378601074219,1.3536376953125,4.954307556152344,0.778839111328125,3.6010208129882813,1.143402099609375,1.3193130493164063,100,71163972,600356279,514106262,3112952,8463335424,7247757312,4001214464,0
200,1708992114021,2592,2592,2592,2592,2592,2592,2592,2592,24.611083984375,22.486000061035156,22.51465606689453,22.6502685546875,41.649173736572266,16.39710235595703,26.829437255859375,54.785682678222656,71167005,600422235,514167368,3113102,8463335424,7247757312,4041396224,0
199,1708992114222,2592,2592,2592,2592,2592,2592,2592,2592,100,0.43997955322265625,6.044181823730469,0.9261932373046875,2.8336410522460938,1.418243408203125,2.7930831909179688,3.4011764526367188,71169171,600477088,514217489,3113250,8463335424,7247757312,4094873600,0
200,1708992114422,2592,2592,2592,2592,2592,2592,2592,2592,100,1.5522994995117188,7.188079833984375,1.3804931640625,3.590789794921875,1.2741165161132813,3.8843765258789063,4.308677673339844,71171370,600533237,514268996,3113394,8463335424,7247757312,4130938880,0
199,1708992114623,2592,2592,2592,2592,2592,2592,2592,2592,67.94498443603516,5.307029724121094,14.547821044921875,12.801734924316406,12.821952819824219,4.881858825683594,8.034622192382813,45.49900436401367,71174277,600591826,514322671,3113700,8463335424,7247757312,4197593088,0
200,1708992114823,2592,2592,2592,2592,2592,2592,2592,2592,9.9168701171875,5.4563751220703125,16.052810668945313,2.3331756591796875,26.61181640625,1.9555435180664063,2.8682861328125,99.8937759399414,71177260,600649834,514375672,3113837,8463335424,7247757312,4274782208,0
199,1708992115024,2592,2592,2592,2592,2592,2592,2592,2592,6.247528076171875,0.9066696166992188,6.52691650390625,0.7715530395507813,1.8942413330078125,1.0559234619140625,0.8731918334960938,100,71180134,600704423,514425658,3113985,8463335424,7247757312,4307468288,0
200,1708992115224,2592,2592,2592,2592,2592,2592,2592,2592,6.9649200439453125,0.6646270751953125,4.2575225830078125,0.772064208984375,2.5088729858398438,0.8340072631835938,0.9987869262695313,100,71183035,600760384,514476606,3114159,8463335424,7247757312,4325584896,0
200,1708992115425,2592,2592,2592,2592,2592,2592,2592,2592,21.225669860839844,8.528701782226563,19.066574096679688,57.23799133300781,41.86859893798828,6.255867004394531,14.414680480957031,37.88551712036133,71186612,600822427,514533846,3114347,8463335424,7247757312,4402126848,0
200,1708992115626,2592,2592,2592,2592,2592,2592,2592,2592,91.7818603515625,73.77243041992188,81.11537170410156,86.46332550048828,83.48475646972656,78.71829986572266,73.06494140625,87.2988510131836,71192502,600932484,514637867,3114653,8463335424,7247757312,4415586304,0
200,1708992115827,2592,2592,2592,2592,2592,2592,2592,2592,57.84066390991211,24.84355926513672,23.834678649902344,33.84931945800781,27.492630004882813,21.665809631347656,20.54833984375,94.91046142578125,71196517,601012274,514712278,3114842,8463335424,7247757312,4446810112,0
200,1708992116027,2592,2592,2592,2592,2592,2592,2592,2592,27.873367309570313,12.175544738769531,20.726951599121094,16.930084228515625,15.318702697753906,15.8297119140625,20.805404663085938,73.28834533691406,71199619,601074094,514769374,3114976,8463335424,7247757312,4475568128,0
200,1708992116228,2592,2592,2592,2592,2592,2592,2592,2592,17.694190979003906,12.23626708984375,17.452804565429688,16.878402709960938,47.41135025024414,12.18548583984375,25.31085968017578,50.29001998901367,71202769,601133931,514824126,3115315,8463335424,7247757312,4496871424,0
200,1708992116428,2592,2592,2592,2592,2592,2592,2592,2592,17.319427490234375,8.253349304199219,25.932785034179688,14.668113708496094,12.115386962890625,8.889060974121094,49.601890563964844,46.389408111572266,71205975,601194734,514879957,3115484,8463335424,7247757312,4513148928,0
200,1708992116629,2592,2592,2592,2592,2592,2592,2592,2592,14.067413330078125,2.7906494140625,9.402572631835938,4.74664306640625,5.000846862792969,2.0276260375976563,68.26307678222656,34.13323211669922,71209108,601251982,514932220,3115625,8463335424,7247757312,4516323328,0
200,1708992116830,2592,2592,2592,2592,2592,2592,2592,2592,5.373908996582031,2.3935089111328125,5.5009918212890625,1.102630615234375,91.46791076660156,1.0596542358398438,3.7608184814453125,9.554153442382813,71211428,601306117,514981787,3115755,8463335424,7247757312,4533084160,0
200,1708992117030,2592,2592,2592,2592,2592,2592,2592,2592,5.153076171875,1.03118896484375,4.31365966796875,0.307373046875,100,1.2611236572265625,2.15301513671875,0.7385787963867188,71213739,601361102,515031816,3115912,8463335424,7247757312,4539559936,0
200,1708992117231,2592,2592,2592,2592,2592,2592,2592,2592,9.158447265625,1.620758056640625,5.0170440673828125,1.9510726928710938,100,0.39199066162109375,3.26641845703125,1.989776611328125,71216462,601415165,515081389,3116087,8463335424,7247757312,4562235392,0
200,1708992117432,2592,2592,2592,2592,2592,2592,2592,2592,49.59393310546875,1.7068634033203125,4.527671813964844,0.723236083984375,56.14486312866211,1.1756515502929688,4.9336090087890625,4.458961486816406,71219326,601468732,515130005,3116206,8463335424,7247757312,4620570624,0
200,1708992117632,2592,2592,2592,2592,2592,2592,2592,2592,51.85576629638672,2.0531692504882813,7.295082092285156,1.3586349487304688,4.696464538574219,1.7258453369140625,52.95035934448242,2.8447418212890625,71222220,601523241,515179680,3116351,8463335424,7247757312,4636839936,0
200,1708992117832,2592,2592,2592,2592,2592,2592,2592,2592,7.323883056640625,0.54339599609375,4.223655700683594,0.49552154541015625,29.030311584472656,0.5045547485351563,17.116439819335938,58.538177490234375,71224781,601579808,515231446,3116511,8463335424,7247757312,4635148288,0
200,1708992118033,2592,2592,2592,2592,2592,2592,2592,2592,14.390586853027344,2.4115753173828125,9.918540954589844,67.06547546386719,50.38233947753906,6.851310729980469,8.135200500488281,14.839805603027344,71228420,601641403,515287882,3117015,8463335424,7247757312,4627640320,0
200,1708992118234,2592,2592,2592,2592,2592,2592,2592,2592,2.7901611328125,0,4.153594970703125,4.310768127441406,3.8318328857421875,0.07816314697265625,2.648651123046875,3.2107315063476563,71230354,601649669,515293956,3117177,8463335424,7247757312,4627681280,0
199,1708992118434,2592,2592,2592,2592,2592,2592,2592,2592,1.3348312377929688,0,3.1928634643554688,0,6.123603820800781,0,2.684295654296875,1.9714202880859375,71232215,601653738,515296044,3117323,8463335424,7247757312,4627685376,0
200,1708992118635,2592,2592,2592,2592,2592,2592,2592,2592,5.246185302734375,2.877655029296875,5.697013854980469,0.884735107421875,2.9776687622070313,6.1443939208984375,1.9292831420898438,3.9952163696289063,71234160,601661135,515301152,3117450,8463335424,7247757312,4636987392,0
