Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1708691523226,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,27262044,314369616,277843841,1264839,8463335424,6710886400,3771908096,0
199,1708691523227,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,27262100,314370491,277844995,1264839,8463335424,6710886400,3771973632,0
199,1708691523427,2592,2592,2592,2592,2592,2592,2592,2592,9.723915100097656,19.035438537597656,73.11795806884766,6.407341003417969,17.393997192382813,9.544326782226563,8.127655029296875,8.562217712402344,27264280,314420506,277890431,1264880,8463335424,6710886400,3794321408,0
192,1708691523635,2592,2592,2592,2592,2592,2592,2592,2592,4.424163818359375,4.7498321533203125,34.35962677001953,0,9.135940551757813,0,0.9072647094726563,0,27266335,314451040,277917445,1264880,8463335424,6710886400,3796738048,0
200,1708691523827,2592,2592,2592,2592,2592,2592,2592,2592,7.298759460449219,5.109130859375,7.92425537109375,4.907432556152344,5.7122650146484375,5.550201416015625,5.020088195800781,23.505538940429688,27267851,314460101,277924900,1264880,8463335424,6710886400,3797516288,0
200,1708691524028,2592,2592,2592,2592,2592,2592,2592,2592,1.1241836547851563,2.7323150634765625,2.2464141845703125,0.07357025146484375,0,0.09214019775390625,1.8189163208007813,0,27269443,314462633,277925797,1264904,8463335424,6710886400,3791851520,0
200,1708691524228,2592,2592,2592,2592,2592,2592,2592,2592,14.60321044921875,4.215919494628906,48.05064392089844,5.600120544433594,20.25206756591797,3.8278732299804688,16.78045654296875,10.43682861328125,27271643,314494927,277955081,1264904,8463335424,6710886400,3817029632,0
200,1708691524428,2592,2592,2592,2592,2592,2592,2592,2592,72.62105560302734,72.53121948242188,86.13568878173828,75.98675537109375,80.60275268554688,73.92811584472656,75.72422790527344,72.16703033447266,27276859,314596040,278050655,1265101,8463335424,6710886400,3887591424,0
200,1708691524629,2592,2592,2592,2592,2592,2592,2592,2592,85.34688568115234,68.97531127929688,82.35371398925781,67.6848373413086,81.65703582763672,66.41786193847656,76.91706848144531,67.16177368164063,27282712,314688453,278134965,1267137,8463335424,6710886400,3991273472,0
200,1708691524829,2592,2592,2592,2592,2592,2592,2592,2592,52.26758575439453,30.86296844482422,41.9476432800293,31.185523986816406,49.221954345703125,24.161033630371094,69.40742492675781,28.319923400878906,27286346,314730777,278171237,1268297,8463335424,6710886400,4002021376,0
200,1708691525030,2592,2592,2592,2592,2592,2592,2592,2592,6.2786712646484375,1.8126754760742188,6.2399139404296875,1.9175643920898438,10.505813598632813,0.59820556640625,100,1.3930740356445313,27288385,314783124,278219040,1268444,8463335424,6710886400,4003311616,0
200,1708691525230,2592,2592,2592,2592,2592,2592,2592,2592,46.92201614379883,20.251930236816406,42.31388854980469,63.9097900390625,40.24602508544922,34.57035827636719,58.2869987487793,41.73046112060547,27291748,314862383,278293012,1268880,8463335424,6710886400,4026286080,0
202,1708691525431,2592,2592,2592,2592,2592,2592,2592,2592,32.423187255859375,5.2139739990234375,41.963356018066406,13.104118347167969,18.65984344482422,2.0628204345703125,24.356399536132813,17.808822631835938,27294843,314918750,278344114,1269384,8463335424,6710886400,4039598080,0
200,1708691525634,2592,2592,2592,2592,2592,2592,2592,2592,58.917598724365234,37.86797332763672,37.307621002197266,44.13294982910156,48.128623962402344,18.1256103515625,41.3330078125,30.271087646484375,27298792,314995878,278415294,1269960,8463335424,6710886400,4075507712,0
200,1708691525835,2592,2592,2592,2592,2592,2592,2592,2592,97.3546142578125,11.783859252929688,12.645530700683594,33.829864501953125,16.138900756835938,13.587486267089844,14.820846557617188,24.753158569335938,27301953,315064907,278479376,1270196,8463335424,6710886400,4106993664,0
200,1708691526035,2592,2592,2592,2592,2592,2592,2592,2592,91.9222640991211,21.96661376953125,31.17615509033203,25.07818603515625,22.107215881347656,23.731964111328125,24.431541442871094,23.893531799316406,27304968,315136254,278545958,1270196,8463335424,6710886400,4137881600,0
200,1708691526235,2592,2592,2592,2592,2592,2592,2592,2592,70.36360168457031,6.857421875,12.292991638183594,7.453712463378906,9.244369506835938,6.6582794189453125,34.04203796386719,7.002937316894531,27307490,315194621,278599988,1270196,8463335424,6710886400,4152516608,0
200,1708691526436,2592,2592,2592,2592,2592,2592,2592,2592,57.139156341552734,19.403106689453125,26.531166076660156,11.747215270996094,8.465072631835938,6.143821716308594,19.51953125,6.40081787109375,27310242,315253937,278654438,1270196,8463335424,6710886400,4169736192,0
200,1708691526636,2592,2592,2592,2592,2592,2592,2592,2592,2.9902191162109375,3.166229248046875,100,0.6073989868164063,3.4052658081054688,0.6973419189453125,1.4539337158203125,0.5443267822265625,27312422,315309560,278705737,1270196,8463335424,6710886400,4222885888,0
200,1708691526837,2592,2592,2592,2592,2592,2592,2592,2592,1.5921249389648438,2.02838134765625,99.41172790527344,0.06044769287109375,3.9474105834960938,0.13912200927734375,1.1993026733398438,1.5462646484375,27314615,315363540,278755201,1270196,8463335424,6710886400,4282363904,0
200,1708691527038,2592,2592,2592,2592,2592,2592,2592,2592,0.7013015747070313,1.3821640014648438,100,0,2.4310302734375,0,1.5374832153320313,0,27316506,315418408,278805519,1270196,8463335424,6710886400,4317872128,0
200,1708691527239,2592,2592,2592,2592,2592,2592,2592,2592,1.0805130004882813,1.9942703247070313,100,0.05063629150390625,4.5832977294921875,0.2784271240234375,0.7978515625,0.49008941650390625,27318387,315473317,278855986,1270196,8463335424,6710886400,4371349504,0
200,1708691527440,2592,2592,2592,2592,2592,2592,2592,2592,25.227767944335938,3.1360702514648438,24.29804229736328,53.917152404785156,3.7960128784179688,0,1.10662841796875,0.81854248046875,27320869,315526383,278904765,1270196,8463335424,6710886400,4452548608,0
200,1708691527641,2592,2592,2592,2592,2592,2592,2592,2592,99.87593078613281,1.005950927734375,1.4570465087890625,0.3715057373046875,0.7792739868164063,0,0.5892715454101563,0,27323585,315580536,278954261,1270196,8463335424,6710886400,4536307712,0
200,1708691527841,2592,2592,2592,2592,2592,2592,2592,2592,100,1.3110809326171875,1.9390945434570313,0.30287933349609375,1.2904205322265625,0.24182891845703125,0.7972946166992188,0.3520660400390625,27326086,315636374,279005512,1270196,8463335424,6710886400,4536324096,0
203,1708691528042,2592,2592,2592,2592,2592,2592,2592,2592,7.043174743652344,2.5439529418945313,8.163742065429688,0.8091354370117188,5.5213775634765625,1.4700851440429688,95.41767120361328,0.30841064453125,27328968,315690184,279054454,1270196,8463335424,6710886400,4608397312,0
199,1708691528246,2592,2592,2592,2592,2592,2592,2592,2592,74.15715026855469,65.65010833740234,87.37106323242188,62.95454406738281,70.0310287475586,57.925601959228516,73.98926544189453,60.07614517211914,27334076,315792842,279151874,1270218,8463335424,6710886400,4630794240,0
200,1708691528446,2592,2592,2592,2592,2592,2592,2592,2592,58.97618865966797,49.69598388671875,25.813011169433594,33.50108337402344,55.39425277709961,35.12940979003906,54.907955169677734,24.688400268554688,27338430,315877270,279231283,1270355,8463335424,6710886400,4676419584,0
200,1708691528647,2592,2592,2592,2592,2592,2592,2592,2592,74.745361328125,10.509597778320313,20.94835662841797,23.247962951660156,12.045791625976563,15.711051940917969,29.081993103027344,13.247200012207031,27341414,315941745,279290734,1270383,8463335424,6710886400,4691050496,0
200,1708691528848,2592,2592,2592,2592,2592,2592,2592,2592,65.15203857421875,11.398773193359375,30.315895080566406,11.775947570800781,30.716934204101563,11.125862121582031,12.08648681640625,11.551315307617188,27344259,316002583,279346829,1270383,8463335424,6710886400,4715503616,0
200,1708691529049,2592,2592,2592,2592,2592,2592,2592,2592,80.76988220214844,16.582962036132813,16.042251586914063,13.091026306152344,11.460250854492188,7.5892791748046875,8.337684631347656,10.864028930664063,27347273,316062496,279402124,1270391,8463335424,6710886400,4724965376,0
