Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1708691781217,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,29945759,348906842,308788006,1370584,8463335424,6710886400,3744538624,0
199,1708691781217,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,29945831,348908074,308789373,1370584,8463335424,6710886400,3745443840,0
200,1708691781418,2592,2592,2592,2592,2592,2592,2592,2592,6.768531799316406,20.426979064941406,77.071044921875,8.172927856445313,10.236671447753906,6.324287414550781,11.803955078125,6.2819061279296875,29947880,348954575,308831139,1370624,8463335424,6710886400,3763691520,0
192,1708691781626,2592,2592,2592,2592,2592,2592,2592,2592,3.9219436645507813,7.671470642089844,37.016483306884766,1.5117568969726563,6.5058441162109375,0,1.398773193359375,0,29949956,348988320,308860120,1370624,8463335424,6710886400,3762008064,0
200,1708691781818,2592,2592,2592,2592,2592,2592,2592,2592,8.71826171875,8.202621459960938,6.389686584472656,27.995162963867188,5.3761138916015625,4.9220123291015625,6.212013244628906,5.744132995605469,29951659,349000705,308870658,1370624,8463335424,6710886400,3776016384,0
200,1708691782019,2592,2592,2592,2592,2592,2592,2592,2592,0,0,1.3088607788085938,0,0,0,0.25704193115234375,0.04537200927734375,29953216,349002275,308871023,1370639,8463335424,6710886400,3775995904,0
201,1708691782219,2592,2592,2592,2592,2592,2592,2592,2592,18.066024780273438,5.634864807128906,42.06037139892578,10.7359619140625,22.18317413330078,2.6135482788085938,18.770790100097656,5.280120849609375,29955436,349034707,308900441,1370639,8463335424,6710886400,3784867840,0
200,1708691782421,2592,2592,2592,2592,2592,2592,2592,2592,75.98753356933594,68.39391326904297,90.21894836425781,82.34618377685547,80.70831298828125,79.30233764648438,78.8390884399414,72.30804443359375,29961216,349143733,309002976,1370987,8463335424,6710886400,3868680192,0
199,1708691782622,2592,2592,2592,2592,2592,2592,2592,2592,60.56195068359375,49.965904235839844,66.33824920654297,51.923187255859375,69.77101135253906,40.12904357910156,60.95121383666992,65.58970642089844,29966252,349219545,309071537,1372956,8463335424,6710886400,3966140416,0
199,1708691782822,2592,2592,2592,2592,2592,2592,2592,2592,56.06216812133789,26.92345428466797,49.3574333190918,30.11376953125,43.41905975341797,20.486419677734375,28.984771728515625,60.383174896240234,29969733,349254052,309100372,1373979,8463335424,6710886400,3969724416,0
