Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1708691826409,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,30423418,355332593,314549365,1393677,8463335424,6710886400,3749711872,0
199,1708691826409,2592,2592,2592,2592,2592,2592,2592,2592,94.5986557006836,83.2808609008789,99.7779541015625,83.17655944824219,95.67752075195313,81.23384094238281,86.89881896972656,84.41219329833984,30423515,355334222,314550592,1393677,8463335424,6710886400,3751260160,0
192,1708691826617,2592,2592,2592,2592,2592,2592,2592,2592,1.4549484252929688,9.074638366699219,76.01750946044922,0,0.9478683471679688,0,0,0,30425652,355385200,314597009,1393715,8463335424,6710886400,3754237952,0
199,1708691826810,2592,2592,2592,2592,2592,2592,2592,2592,12.923011779785156,12.143257141113281,39.58905029296875,6.402046203613281,11.453140258789063,13.240333557128906,11.078056335449219,5.6786041259765625,30427759,355415108,314623273,1393715,8463335424,6710886400,3771600896,0
200,1708691827010,2592,2592,2592,2592,2592,2592,2592,2592,20.86212921142578,1.0181808471679688,3.6344833374023438,1.1179046630859375,1.3863906860351563,1.0263671875,1.1191558837890625,1.9129714965820313,30429300,355423858,314630527,1393715,8463335424,6710886400,3772092416,0
200,1708691827210,2592,2592,2592,2592,2592,2592,2592,2592,0.202789306640625,0,2.1886444091796875,0,0,0.41077423095703125,0,0,30430872,355425613,314630948,1393749,8463335424,6710886400,3771990016,0
204,1708691827411,2592,2592,2592,2592,2592,2592,2592,2592,19.198997497558594,4.855621337890625,42.60303497314453,9.580047607421875,25.455795288085938,2.8645172119140625,20.26690673828125,6.579444885253906,30433132,355458990,314661118,1393749,8463335424,6710886400,3796697088,0
193,1708691827622,2592,2592,2592,2592,2592,2592,2592,2592,75.25962829589844,73.42831420898438,91.62619018554688,83.53671264648438,80.5958480834961,80.06009674072266,79.56725311279297,79.85847473144531,30439042,355569695,314765672,1394059,8463335424,6710886400,3868246016,0
200,1708691827816,2592,2592,2592,2592,2592,2592,2592,2592,60.4151725769043,45.658599853515625,61.77349090576172,57.4709358215332,70.46543884277344,46.37144470214844,59.86118698120117,61.61675262451172,30444201,355644965,314833236,1396173,8463335424,6710886400,3963002880,0
200,1708691828016,2592,2592,2592,2592,2592,2592,2592,2592,48.95383071899414,40.094017028808594,42.582862854003906,24.918861389160156,42.32257843017578,34.04033660888672,38.15035629272461,55.317726135253906,30447509,355684561,314867156,1397063,8463335424,6710886400,3975045120,0
199,1708691828217,2592,2592,2592,2592,2592,2592,2592,2592,14.827278137207031,3.4328994750976563,8.459526062011719,4.584144592285156,14.212989807128906,4.051795959472656,4.7278289794921875,92.570068359375,30449659,355737624,314915547,1397223,8463335424,6710886400,3978268672,0
200,1708691828417,2592,2592,2592,2592,2592,2592,2592,2592,44.527584075927734,23.119789123535156,38.575035095214844,26.734268188476563,54.60334014892578,38.39735412597656,52.1934700012207,63.423065185546875,30453247,355816089,314988377,1398031,8463335424,6710886400,4012802048,0
200,1708691828617,2592,2592,2592,2592,2592,2592,2592,2592,9.710784912109375,22.84857177734375,21.1968994140625,20.47296142578125,33.12255859375,27.975784301757813,8.816696166992188,4.343910217285156,30456356,355870705,315037558,1398773,8463335424,6710886400,3998900224,0
200,1708691828818,2592,2592,2592,2592,2592,2592,2592,2592,50.18946075439453,52.36555862426758,36.6541633605957,52.743980407714844,58.060482025146484,32.38860321044922,48.29609298706055,33.423118591308594,30460751,355950420,315110993,1399640,8463335424,6710886400,4038090752,0
201,1708691829019,2592,2592,2592,2592,2592,2592,2592,2592,29.383743286132813,15.121192932128906,19.275146484375,56.34583282470703,44.53203582763672,14.067924499511719,45.49290084838867,23.779205322265625,30464246,356020973,315176186,1400174,8463335424,6710886400,4068896768,0
200,1708691829220,2592,2592,2592,2592,2592,2592,2592,2592,25.77008819580078,10.914215087890625,11.1693115234375,69.817138671875,21.14069366455078,11.759567260742188,24.08538055419922,10.630645751953125,30467331,356094807,315244860,1400230,8463335424,6710886400,4102946816,0
199,1708691829421,2592,2592,2592,2592,2592,2592,2592,2592,15.99835205078125,7.8328399658203125,8.960258483886719,99.83600616455078,14.703903198242188,7.716621398925781,13.458549499511719,12.864059448242188,30470005,356151138,315296571,1400347,8463335424,6710886400,4111785984,0
200,1708691829621,2592,2592,2592,2592,2592,2592,2592,2592,12.4942626953125,8.22698974609375,8.76385498046875,95.46434020996094,14.892555236816406,8.236793518066406,15.340164184570313,9.585067749023438,30472794,356211521,315352162,1400456,8463335424,6710886400,4143747072,0
200,1708691829822,2592,2592,2592,2592,2592,2592,2592,2592,8.21112060546875,3.1646881103515625,3.7584609985351563,9.016151428222656,4.462615966796875,1.2306900024414063,22.36890411376953,71.31660461425781,30475348,356267218,315403134,1400568,8463335424,6710886400,4185735168,0
200,1708691830023,2592,2592,2592,2592,2592,2592,2592,2592,5.988212585449219,0.9584808349609375,1.2946929931640625,54.70322799682617,5.892333984375,1.7390213012695313,2.2554092407226563,45.241146087646484,30477829,356321086,315452589,1400697,8463335424,6710886400,4241408000,0
200,1708691830224,2592,2592,2592,2592,2592,2592,2592,2592,5.2991943359375,1.276123046875,0.648590087890625,99.94379425048828,4.4560089111328125,1.2540206909179688,4.293128967285156,1.128875732421875,30479932,356376394,315503212,1400841,8463335424,6710886400,4280315904,0
200,1708691830425,2592,2592,2592,2592,2592,2592,2592,2592,4.987434387207031,0.8053970336914063,0.41448974609375,100,4.684333801269531,0.7102203369140625,2.958953857421875,0.7465896606445313,30481992,356431476,315553845,1400957,8463335424,6710886400,4333506560,0
200,1708691830626,2592,2592,2592,2592,2592,2592,2592,2592,7.189300537109375,2.0580520629882813,1.190277099609375,99.4159164428711,7.142738342285156,1.0899810791015625,4.6389923095703125,3.7505416870117188,30484485,356484654,315602112,1401062,8463335424,6710886400,4402647040,0
200,1708691830826,2592,2592,2592,2592,2592,2592,2592,2592,7.7441864013671875,2.7324752807617188,0.2948455810546875,99.92555236816406,7.1833648681640625,1.4301681518554688,3.147491455078125,1.896697998046875,30487282,356538798,315651396,1401178,8463335424,6710886400,4491767808,0
200,1708691831027,2592,2592,2592,2592,2592,2592,2592,2592,5.583831787109375,0.9331817626953125,98.17105865478516,2.48626708984375,3.8749542236328125,1.7987518310546875,2.7147979736328125,0.985687255859375,30490089,356592285,315700295,1401281,8463335424,6710886400,4506337280,0
221,1708691831227,2592,2592,2592,2592,2592,2592,2592,2592,5.5970611572265625,0.8617935180664063,100,0.5363845825195313,4.234199523925781,1.0330963134765625,2.1725006103515625,0.8316268920898438,30492980,356646774,315750083,1401400,8463335424,6710886400,4532170752,0
200,1708691831448,2592,2592,2592,2592,2592,2592,2592,2592,47.419437408447266,46.55705642700195,68.33100128173828,53.80509567260742,49.86750793457031,35.621185302734375,58.213584899902344,39.356903076171875,30497938,356740868,315838528,1401497,8463335424,6710886400,4593733632,0
202,1708691831649,2592,2592,2592,2592,2592,2592,2592,2592,47.635581970214844,41.9852180480957,54.16360092163086,77.35611724853516,76.89806365966797,71.58702850341797,44.896728515625,40.23310470581055,30502871,356832423,315924198,1401831,8463335424,6710886400,4633436160,0
200,1708691831851,2592,2592,2592,2592,2592,2592,2592,2592,24.810073852539063,23.31635284423828,14.641883850097656,75.33667755126953,52.6927490234375,17.02568817138672,26.379547119140625,22.622207641601563,30506469,356902723,315989475,1401962,8463335424,6710886400,4652040192,0
200,1708691832052,2592,2592,2592,2592,2592,2592,2592,2592,18.292213439941406,12.179244995117188,11.685516357421875,99.81819915771484,15.609519958496094,12.489234924316406,14.096626281738281,12.260139465332031,30509494,356963501,316045252,1402082,8463335424,6710886400,4675481600,0
200,1708691832253,2592,2592,2592,2592,2592,2592,2592,2592,18.715003967285156,12.995918273925781,22.239334106445313,61.86250686645508,30.089881896972656,12.953178405761719,30.068885803222656,12.962455749511719,30512599,357024352,316101342,1402317,8463335424,6710886400,4703424512,0
200,1708691832454,2592,2592,2592,2592,2592,2592,2592,2592,86.18284606933594,1.0674896240234375,2.465850830078125,20.591773986816406,11.087669372558594,2.3822860717773438,2.7007064819335938,10.627326965332031,30515942,357080500,316152405,1402479,8463335424,6710886400,4701212672,0
200,1708691832655,2592,2592,2592,2592,2592,2592,2592,2592,9.4921875,1.1373519897460938,0.6645050048828125,100,10.250755310058594,0.901153564453125,2.9290084838867188,2.29241943359375,30518283,357137537,316204830,1402585,8463335424,6710886400,4717219840,0
200,1708691832856,2592,2592,2592,2592,2592,2592,2592,2592,7.838981628417969,2.8746795654296875,0.9059906005859375,100,6.859840393066406,2.0330886840820313,2.8847808837890625,1.8488082885742188,30520580,357194348,316256871,1402721,8463335424,6710886400,4724428800,0
200,1708691833057,2592,2592,2592,2592,2592,2592,2592,2592,4.1118621826171875,30.88970184326172,2.4095230102539063,70.2853012084961,3.73974609375,1.1089630126953125,3.1946487426757813,2.20050048828125,30523045,357249534,316307440,1402819,8463335424,6710886400,4741955584,0
200,1708691833257,2592,2592,2592,2592,2592,2592,2592,2592,2.065948486328125,97.03018951416016,2.4961776733398438,3.7167434692382813,4.8868408203125,1.5727005004882813,4.0080108642578125,4.242637634277344,30525901,357303560,316356574,1402959,8463335424,6710886400,4793364480,0
200,1708691833458,2592,2592,2592,2592,2592,2592,2592,2592,5.9216766357421875,1.6937332153320313,0.8268356323242188,100,4.9801788330078125,1.1373825073242188,3.8382644653320313,1.6964263916015625,30528742,357356965,316405200,1403074,8463335424,6710886400,4823035904,0
200,1708691833659,2592,2592,2592,2592,2592,2592,2592,2592,4.4613189697265625,0.8482818603515625,0.5385284423828125,100,4.439788818359375,0.8071212768554688,3.221710205078125,1.1844482421875,30531199,357413467,316457238,1403227,8463335424,6710886400,4821278720,0
200,1708691833859,2592,2592,2592,2592,2592,2592,2592,2592,10.014289855957031,5.092437744140625,9.823783874511719,60.009647369384766,11.055038452148438,0.6852951049804688,62.75441360473633,3.8001861572265625,30534731,357474036,316512364,1403617,8463335424,6710886400,4833923072,0
199,1708691834060,2592,2592,2592,2592,2592,2592,2592,2592,8.177925109863281,5.577484130859375,3.0220413208007813,2.4841232299804688,7.87542724609375,1.407989501953125,14.405845642089844,4.621208190917969,30536817,357487728,316522437,1403856,8463335424,6710886400,4829376512,0
199,1708691834260,2592,2592,2592,2592,2592,2592,2592,2592,2.5131454467773438,1.5186614990234375,9.427841186523438,0,1.2567977905273438,0.89288330078125,0.6062545776367188,4.539405822753906,30538713,357492950,316524737,1403976,8463335424,6710886400,4832788480,0
199,1708691834461,2592,2592,2592,2592,2592,2592,2592,2592,3.5199737548828125,1.5177764892578125,3.1636962890625,0.12819671630859375,2.7448654174804688,1.6282501220703125,6.368377685546875,6.057624816894531,30540550,357496987,316525664,1404122,8463335424,6710886400,4832370688,0
202,1708691834660,2592,2592,2592,2592,2592,2592,2592,2592,4.235435485839844,1.4990997314453125,1.9757461547851563,2.5067138671875,8.930229187011719,2.6185989379882813,2.9640655517578125,4.7972869873046875,30542296,357501891,316528027,1404264,8463335424,6710886400,4832067584,0
200,1708691834863,2592,2592,2592,2592,2592,2592,2592,2592,26.190963745117188,29.86682891845703,26.02307891845703,51.85809326171875,39.65608596801758,22.013099670410156,25.174888610839844,23.668380737304688,30545567,357560668,316582201,1404395,8463335424,6710886400,4725182464,0
200,1708691835064,2592,2592,2592,2592,2592,2592,2592,2592,18.408851623535156,17.85980224609375,21.57683563232422,75.05023956298828,22.297035217285156,12.879547119140625,23.98180389404297,13.48553466796875,30548613,357624760,316641439,1404617,8463335424,6710886400,4744597504,0
199,1708691835264,2592,2592,2592,2592,2592,2592,2592,2592,9.325889587402344,3.9425201416015625,14.230682373046875,89.93135833740234,7.062934875488281,4.077369689941406,6.411338806152344,4.260780334472656,30551219,357681560,316693352,1404806,8463335424,6710886400,4762136576,0
200,1708691835464,2592,2592,2592,2592,2592,2592,2592,2592,13.801406860351563,23.4429931640625,22.914398193359375,82.02352142333984,39.20392990112305,12.365867614746094,19.36358642578125,29.849578857421875,30554644,357750887,316757778,1404949,8463335424,6710886400,4756557824,0
200,1708691835665,2592,2592,2592,2592,2592,2592,2592,2592,9.857383728027344,27.433212280273438,27.911270141601563,51.38121795654297,9.442092895507813,1.7906494140625,3.22772216796875,2.9229354858398438,30557847,357805002,316807300,1405096,8463335424,6710886400,4765016064,0
200,1708691835865,2592,2592,2592,2592,2592,2592,2592,2592,49.623985290527344,50.17364501953125,52.639076232910156,47.11003494262695,13.566551208496094,18.031883239746094,13.009315490722656,7.1005706787109375,30560488,357876498,316873823,1405224,8463335424,6710886400,4796248064,0
200,1708691836066,2592,2592,2592,2592,2592,2592,2592,2592,42.77913284301758,84.74467468261719,62.99213409423828,49.68391799926758,49.90138626098633,52.947505950927734,51.31588363647461,32.79168701171875,30564388,357968731,316961036,1405309,8463335424,6710886400,4814622720,0
200,1708691836266,2592,2592,2592,2592,2592,2592,2592,2592,14.967750549316406,41.77545166015625,26.817642211914063,4.722503662109375,7.231086730957031,24.243484497070313,63.569923400878906,3.559967041015625,30567287,358030724,317017930,1405435,8463335424,6710886400,4853735424,0
200,1708691836467,2592,2592,2592,2592,2592,2592,2592,2592,7.1446380615234375,0.7447357177734375,4.202507019042969,0.757720947265625,2.9024810791015625,1.30450439453125,100,1.683837890625,30570015,358083561,317066049,1405551,8463335424,6710886400,4925935616,0
200,1708691836668,2592,2592,2592,2592,2592,2592,2592,2592,11.152435302734375,5.008674621582031,2.1053237915039063,52.7412109375,6.621490478515625,1.4269180297851563,51.141082763671875,1.899078369140625,30572948,358138539,317115897,1405714,8463335424,6710886400,4962762752,0
200,1708691836869,2592,2592,2592,2592,2592,2592,2592,2592,8.411758422851563,2.1528701782226563,0.9698715209960938,100,5.748756408691406,1.5177841186523438,3.3508148193359375,2.298004150390625,30575460,358195428,317168087,1405859,8463335424,6710886400,4967145472,0
200,1708691837069,2592,2592,2592,2592,2592,2592,2592,2592,8.336143493652344,0.9974288940429688,42.64912414550781,31.274749755859375,19.576377868652344,2.4480133056640625,6.574958801269531,3.9406661987304688,30578545,358247627,317215373,1406268,8463335424,6710886400,4956340224,0
199,1708691837270,2592,2592,2592,2592,2592,2592,2592,2592,9.490951538085938,0,9.574783325195313,0,1.9417495727539063,1.0763931274414063,0,3.5032958984375,30580381,358257312,317222003,1406424,8463335424,6710886400,4956090368,0
200,1708691837470,2592,2592,2592,2592,2592,2592,2592,2592,5.8459930419921875,2.1669082641601563,4.2667083740234375,4.3497467041015625,6.333160400390625,2.4777755737304688,3.58416748046875,8.339195251464844,30582238,358262436,317224106,1406556,8463335424,6710886400,4953686016,0
199,1708691837670,2592,2592,2592,2592,2592,2592,2592,2592,11.252220153808594,3.7569961547851563,13.895233154296875,0,5.086418151855469,2.7290496826171875,2.4272232055664063,10.642730712890625,30584330,358271024,317228911,1406660,8463335424,6710886400,4953899008,0
200,1708691837871,2592,2592,2592,2592,2592,2592,2592,2592,14.172286987304688,1.291046142578125,7.8437652587890625,3.3790512084960938,2.4594268798828125,3.5332107543945313,3.8858184814453125,5.2790985107421875,30586246,358277224,317231747,1406783,8463335424,6710886400,4960587776,0
200,1708691838071,2592,2592,2592,2592,2592,2592,2592,2592,19.816848754882813,12.095130920410156,19.491470336914063,36.44377517700195,43.043983459472656,10.909477233886719,15.938835144042969,13.469642639160156,30588834,358318769,317268998,1406939,8463335424,6710886400,4971360256,0
200,1708691838272,2592,2592,2592,2592,2592,2592,2592,2592,23.093963623046875,10.584243774414063,30.298171997070313,53.12831497192383,33.76649475097656,11.049491882324219,13.193923950195313,14.12835693359375,30591722,358380201,317325839,1407081,8463335424,6710886400,4989812736,0
