Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1708990869491,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,58960979,508600257,434870485,2699011,8463335424,7247757312,3369472000,0
200,1708990869491,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,58961061,508601628,434871786,2699011,8463335424,7247757312,3371208704,0
199,1708990869691,2592,2592,2592,2592,2592,2592,2592,2592,21.446334838867188,8.948402404785156,68.49446868896484,6.7468109130859375,17.90337371826172,6.361930847167969,12.869728088378906,6.607048034667969,58963317,508649708,434915166,2699020,8463335424,7247757312,3376680960,0
193,1708990869898,2592,2592,2592,2592,2592,2592,2592,2592,12.306259155273438,4.205085754394531,63.84088897705078,1.5208816528320313,9.668037414550781,0,6.8325653076171875,1.75921630859375,58965666,508690657,434951710,2699020,8463335424,7247757312,3396628480,0
200,1708990870092,2592,2592,2592,2592,2592,2592,2592,2592,64.51466369628906,24.887130737304688,39.37482452392578,28.853118896484375,33.615135192871094,60.038177490234375,32.691802978515625,57.039005279541016,58968010,508755795,435012128,2699037,8463335424,7247757312,3400990720,0
200,1708990870292,2592,2592,2592,2592,2592,2592,2592,2592,52.376792907714844,0,7.449119567871094,0,34.700889587402344,18.766204833984375,33.102203369140625,20.344406127929688,58969889,508808766,435060560,2699037,8463335424,7247757312,3399639040,0
200,1708990870492,2592,2592,2592,2592,2592,2592,2592,2592,15.354209899902344,10.563796997070313,40.91115188598633,7.789512634277344,26.111770629882813,3.9852828979492188,15.203758239746094,7.53826904296875,58972151,508827990,435076603,2699037,8463335424,7247757312,3402088448,0
199,1708990870693,2592,2592,2592,2592,2592,2592,2592,2592,74.5219955444336,57.20138931274414,89.3028793334961,59.82548904418945,63.39106369018555,60.09956741333008,68.67282104492188,63.091400146484375,58977092,508920146,435163177,2699208,8463335424,7247757312,3464953856,0
200,1708990870893,2592,2592,2592,2592,2592,2592,2592,2592,88.72394561767578,79.78521728515625,94.4864501953125,81.7457504272461,83.72657775878906,77.69983673095703,81.51840209960938,78.25035858154297,58983139,509021182,435256970,2700967,8463335424,7247757312,3545321472,0
200,1708990871094,2592,2592,2592,2592,2592,2592,2592,2592,44.882476806640625,36.04720687866211,44.82158279418945,26.64165496826172,34.077293395996094,58.33465576171875,40.7531623840332,36.418785095214844,58987299,509095348,435324122,2702798,8463335424,7247757312,3590553600,0
200,1708990871294,2592,2592,2592,2592,2592,2592,2592,2592,2.4964675903320313,96.04149627685547,17.649208068847656,8.089225769042969,16.80975341796875,2.2225189208984375,14.280082702636719,8.124343872070313,58989675,509151853,435375885,2703026,8463335424,7247757312,3590664192,0
200,1708990871495,2592,2592,2592,2592,2592,2592,2592,2592,28.868011474609375,6.53131103515625,32.631126403808594,9.241950988769531,23.99645233154297,33.117095947265625,21.22900390625,9.598976135253906,58992611,509200463,435419410,2703511,8463335424,7247757312,3597934592,0
200,1708990871695,2592,2592,2592,2592,2592,2592,2592,2592,42.46918869018555,29.432342529296875,32.533897399902344,23.546714782714844,22.039443969726563,8.775001525878906,12.869674682617188,36.00235366821289,58995965,509259676,435473041,2704430,8463335424,7247757312,3612811264,0
200,1708990871896,2592,2592,2592,2592,2592,2592,2592,2592,45.33384323120117,32.343894958496094,63.35896682739258,33.750160217285156,38.567840576171875,29.104690551757813,37.51970672607422,50.581809997558594,59000373,509334500,435541593,2705414,8463335424,7247757312,3640037376,0
200,1708990872097,2592,2592,2592,2592,2592,2592,2592,2592,50.94115447998047,28.062484741210938,47.231082916259766,26.914871215820313,32.04491424560547,15.084854125976563,25.14215850830078,42.98249816894531,59004252,509405995,435607305,2706270,8463335424,7247757312,3663278080,0
201,1708990872298,2592,2592,2592,2592,2592,2592,2592,2592,29.630531311035156,23.162071228027344,22.01520538330078,30.832962036132813,27.907737731933594,23.33698272705078,26.408912658691406,90.53472900390625,59007615,509477245,435673537,2706374,8463335424,7247757312,3680239616,0
200,1708990872499,2592,2592,2592,2592,2592,2592,2592,2592,20.19255828857422,7.946723937988281,9.366203308105469,8.412132263183594,16.308982849121094,8.497146606445313,11.305702209472656,85.54216766357422,59010638,509536374,435727792,2706491,8463335424,7247757312,3784052736,0
200,1708990872700,2592,2592,2592,2592,2592,2592,2592,2592,7.550407409667969,0.6124649047851563,2.7702255249023438,0.9076080322265625,2.1746673583984375,1.0444564819335938,4.376350402832031,100,59013238,509592499,435779011,2706657,8463335424,7247757312,3829506048,0
200,1708990872901,2592,2592,2592,2592,2592,2592,2592,2592,6.028968811035156,1.0231781005859375,3.794921875,1.0750503540039063,29.20970916748047,1.5788803100585938,4.8717193603515625,74.95117950439453,59015916,509647927,435829830,2706799,8463335424,7247757312,3851399168,0
208,1708990873102,2592,2592,2592,2592,2592,2592,2592,2592,7.0792999267578125,2.88818359375,76.0177001953125,2.1245574951171875,27.430885314941406,2.5396499633789063,5.354927062988281,1.400604248046875,59018234,509706254,435883367,2706935,8463335424,7247757312,3887882240,0
200,1708990873310,2592,2592,2592,2592,2592,2592,2592,2592,19.77056884765625,15.9078369140625,99.85862731933594,15.869636535644531,17.275634765625,16.92974853515625,18.893234252929688,16.82341766357422,59021571,509774582,435946952,2707045,8463335424,7247757312,3939672064,0
199,1708990873510,2592,2592,2592,2592,2592,2592,2592,2592,37.56331253051758,18.798538208007813,73.50839233398438,9.474769592285156,15.2030029296875,5.491035461425781,11.876808166503906,26.811973571777344,59025116,509834379,436001701,2707148,8463335424,7247757312,3936223232,0
200,1708990873710,2592,2592,2592,2592,2592,2592,2592,2592,5.0000457763671875,0.8831024169921875,100,0.36872100830078125,4.8272552490234375,2.1527175903320313,4.3208770751953125,1.0242538452148438,59027643,509888143,436050525,2707252,8463335424,7247757312,3982045184,0
200,1708990873911,2592,2592,2592,2592,2592,2592,2592,2592,16.6614990234375,3.8290023803710938,72.6456298828125,27.091827392578125,14.543251037597656,2.6135101318359375,12.247154235839844,4.8491973876953125,59030336,509944924,436102459,2707566,8463335424,7247757312,4053344256,0
200,1708990874112,2592,2592,2592,2592,2592,2592,2592,2592,15.872116088867188,3.9071502685546875,58.75168991088867,10.22967529296875,22.845359802246094,1.9217681884765625,6.5168609619140625,65.85316467285156,59033124,510006050,436158790,2707700,8463335424,7247757312,4109410304,0
200,1708990874313,2592,2592,2592,2592,2592,2592,2592,2592,5.467170715332031,1.095733642578125,99.99756622314453,0.6109085083007813,5.164131164550781,1.00238037109375,4.6800537109375,2.0464859008789063,59035491,510060412,436208388,2707814,8463335424,7247757312,4179042304,0
200,1708990874514,2592,2592,2592,2592,2592,2592,2592,2592,27.717132568359375,0.7982711791992188,40.186378479003906,0.93243408203125,3.7935028076171875,1.2008132934570313,4.817268371582031,39.68101119995117,59038186,510112743,436255997,2707961,8463335424,7247757312,4283727872,0
