Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1708999873623,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,146659631,1138821793,976764555,5538447,8463335424,7247757312,3217649664,0
200,1708999873623,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,146659738,1138823547,976766010,5538447,8463335424,7247757312,3217657856,0
200,1708999873824,2592,2592,2592,2592,2592,2592,2592,2592,9.157318115234375,7.180015563964844,76.0260009765625,8.593582153320313,15.923751831054688,7.141181945800781,21.91259765625,7.189262390136719,146661974,1138872158,976810321,5538475,8463335424,7247757312,3234488320,0
193,1708999874031,2592,2592,2592,2592,2592,2592,2592,2592,7.610282897949219,0,40.93935775756836,0.6650619506835938,23.08637237548828,0,11.103179931640625,2.915679931640625,146664317,1138912557,976846376,5538475,8463335424,7247757312,3243012096,0
200,1708999874225,2592,2592,2592,2592,2592,2592,2592,2592,3.1983184814453125,2.6719512939453125,4.7313232421875,11.185081481933594,6.617240905761719,2.7050247192382813,3.46417236328125,3.48382568359375,146666209,1138919591,976851517,5538511,8463335424,7247757312,3251507200,0
200,1708999874425,2592,2592,2592,2592,2592,2592,2592,2592,0.28936767578125,0.14875030517578125,2.3584518432617188,0.19693756103515625,0.280487060546875,0.2251739501953125,1.6379470825195313,0.14710235595703125,146667893,1138920969,976851781,5538511,8463335424,7247757312,3251499008,0
200,1708999874626,2592,2592,2592,2592,2592,2592,2592,2592,21.1546630859375,2.7527313232421875,45.797821044921875,9.067276000976563,19.563095092773438,1.8294219970703125,16.58197784423828,0.7324295043945313,146670385,1138954455,976882039,5538511,8463335424,7247757312,3257835520,0
200,1708999874826,2592,2592,2592,2592,2592,2592,2592,2592,80.49100494384766,77.29962921142578,83.43313598632813,73.76316833496094,79.51827239990234,70.53693389892578,76.5357437133789,69.78057861328125,146675579,1139050262,976972135,5538684,8463335424,7247757312,3337957376,0
200,1708999875027,2592,2592,2592,2592,2592,2592,2592,2592,77.24178314208984,76.54745483398438,85.23948669433594,76.97291564941406,79.81573486328125,70.58512115478516,77.82318115234375,78.1905517578125,146681671,1139150268,977064319,5540606,8463335424,7247757312,3430031360,0
200,1708999875228,2592,2592,2592,2592,2592,2592,2592,2592,44.59507751464844,16.094711303710938,75.50220489501953,17.1851806640625,68.70216369628906,18.029823303222656,33.96887969970703,21.950340270996094,146685513,1139220850,977128388,5542207,8463335424,7247757312,3450531840,0
200,1708999875428,2592,2592,2592,2592,2592,2592,2592,2592,7.154533386230469,2.7270965576171875,82.5539779663086,3.17620849609375,30.328155517578125,2.444976806640625,7.59771728515625,3.0407485961914063,146687702,1139270589,977173429,5542400,8463335424,7247757312,3449913344,0
200,1708999875629,2592,2592,2592,2592,2592,2592,2592,2592,46.39202117919922,21.09229278564453,38.69252014160156,17.218589782714844,36.50493240356445,23.41625213623047,19.3800048828125,30.678070068359375,146691118,1139330030,977227281,5543080,8463335424,7247757312,3469660160,0
200,1708999875829,2592,2592,2592,2592,2592,2592,2592,2592,22.805328369140625,9.104225158691406,18.950607299804688,21.302108764648438,38.5009765625,10.843162536621094,70.12594604492188,15.852310180664063,146694645,1139391494,977283021,5543942,8463335424,7247757312,3475410944,0
199,1708999876030,2592,2592,2592,2592,2592,2592,2592,2592,46.6558952331543,20.711257934570313,39.258460998535156,59.938053131103516,51.87636184692383,24.98455047607422,63.360477447509766,37.045719146728516,146699025,1139467553,977352691,5545022,8463335424,7247757312,3506724864,0
200,1708999876230,2592,2592,2592,2592,2592,2592,2592,2592,51.28206253051758,15.215560913085938,18.61437225341797,28.63140869140625,18.102333068847656,24.03620147705078,68.06410217285156,24.83202362060547,146702616,1139534378,977414020,5545652,8463335424,7247757312,3539398656,0
200,1708999876431,2592,2592,2592,2592,2592,2592,2592,2592,33.377227783203125,22.42717742919922,25.07299041748047,29.81665802001953,21.232643127441406,23.45769500732422,89.57637786865234,23.73125457763672,146705876,1139604513,977479408,5545654,8463335424,7247757312,3553857536,0
199,1708999876632,2592,2592,2592,2592,2592,2592,2592,2592,14.494911193847656,4.460380554199219,14.096939086914063,4.8209991455078125,5.5106048583984375,4.815422058105469,88.53634643554688,5.9048919677734375,146708661,1139660004,977530291,5545796,8463335424,7247757312,3659145216,0
200,1708999876832,2592,2592,2592,2592,2592,2592,2592,2592,5.772865295410156,0.9977493286132813,5.280517578125,0.9928970336914063,3.7887649536132813,1.041229248046875,100,2.9617996215820313,146711200,1139714408,977579989,5545952,8463335424,7247757312,3704799232,0
200,1708999877033,2592,2592,2592,2592,2592,2592,2592,2592,6.525581359863281,1.1502304077148438,6.977813720703125,1.3736343383789063,4.336578369140625,1.0662155151367188,99.97908782958984,1.8480758666992188,146713822,1139770082,977630848,5546112,8463335424,7247757312,3726135296,0
199,1708999877234,2592,2592,2592,2592,2592,2592,2592,2592,7.8688812255859375,1.249359130859375,5.211006164550781,3.9326248168945313,2.3360748291015625,0.9942703247070313,87.01624298095703,16.73870086669922,146716166,1139828187,977684214,5546263,8463335424,7247757312,3760996352,0
200,1708999877434,2592,2592,2592,2592,2592,2592,2592,2592,42.34027862548828,34.871299743652344,23.108970642089844,23.124916076660156,32.98600769042969,20.245140075683594,33.86601257324219,74.67813873291016,146720298,1139898918,977749890,5546412,8463335424,7247757312,3742896128,0
200,1708999877635,2592,2592,2592,2592,2592,2592,2592,2592,5.634498596191406,0.8214035034179688,5.186729431152344,1.04351806640625,25.561752319335938,1.7843093872070313,78.043212890625,1.6243820190429688,146723044,1139952330,977798417,5546549,8463335424,7247757312,3806822400,0
200,1708999877836,2592,2592,2592,2592,2592,2592,2592,2592,6.653846740722656,1.911224365234375,6.244873046875,1.0955123901367188,21.65251922607422,1.04278564453125,2.7809066772460938,81.93107604980469,146725446,1140005968,977847351,5546691,8463335424,7247757312,3873132544,0
200,1708999878037,2592,2592,2592,2592,2592,2592,2592,2592,39.2330207824707,4.234611511230469,15.129364013671875,6.7453765869140625,10.665855407714844,2.1928024291992188,6.459785461425781,72.17961120605469,146728119,1140062255,977898813,5546974,8463335424,7247757312,3926495232,0
200,1708999878237,2592,2592,2592,2592,2592,2592,2592,2592,18.86797332763672,2.3503570556640625,28.02545166015625,2.305145263671875,99.26250457763672,3.310546875,12.544509887695313,8.676559448242188,146730842,1140121952,977953575,5547109,8463335424,7247757312,3982970880,0
200,1708999878437,2592,2592,2592,2592,2592,2592,2592,2592,64.48783874511719,1.2218170166015625,4.9513092041015625,1.3452529907226563,4.241859436035156,1.3102188110351563,34.552459716796875,8.398948669433594,146733200,1140174789,978001732,5547241,8463335424,7247757312,4049915904,0
199,1708999878637,2592,2592,2592,2592,2592,2592,2592,2592,6.385139465332031,0.975433349609375,5.266632080078125,1.3198928833007813,6.273536682128906,1.7342910766601563,59.67460250854492,42.882450103759766,146735994,1140227938,978050073,5547385,8463335424,7247757312,4161282048,0
200,1708999878838,2592,2592,2592,2592,2592,2592,2592,2592,6.43304443359375,1.0862350463867188,7.189422607421875,0.8219985961914063,1.6857757568359375,1.0864334106445313,1.5262451171875,100,146738926,1140280002,978097433,5547528,8463335424,7247757312,4298862592,0
200,1708999879038,2592,2592,2592,2592,2592,2592,2592,2592,53.37526321411133,1.4395675659179688,7.0063323974609375,3.101470947265625,3.7101821899414063,17.693756103515625,2.8817672729492188,36.30467224121094,146741930,1140332511,978145128,5547667,8463335424,7247757312,4420497408,0
200,1708999879239,2592,2592,2592,2592,2592,2592,2592,2592,100,0.27207183837890625,4.740875244140625,0.7757339477539063,3.149322509765625,2.3316574096679688,3.761077880859375,3.0901260375976563,146745012,1140388503,978196105,5547803,8463335424,7247757312,4434898944,0
200,1708999879440,2592,2592,2592,2592,2592,2592,2592,2592,87.7830810546875,1.408721923828125,4.275856018066406,12.855293273925781,4.51043701171875,1.5963058471679688,16.4913330078125,3.2228317260742188,146748265,1140447785,978250379,5547947,8463335424,7247757312,4457742336,0
