Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1708993698720,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,86594414,711652943,609836820,3617750,8463335424,7247757312,3320995840,0
200,1708993698720,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,86594497,711654240,609838171,3617750,8463335424,7247757312,3320999936,0
200,1708993698921,2592,2592,2592,2592,2592,2592,2592,2592,12.715385437011719,7.829856872558594,72.94690704345703,13.604866027832031,16.28571319580078,6.818397521972656,23.563079833984375,6.174247741699219,86596983,711704843,609883746,3617770,8463335424,7247757312,3339747328,0
193,1708993699128,2592,2592,2592,2592,2592,2592,2592,2592,10.644287109375,0.7665634155273438,41.897586822509766,0,6.399787902832031,0,16.350242614746094,22.48157501220703,86599332,711745393,609919774,3617770,8463335424,7247757312,3345780736,0
199,1708993699322,2592,2592,2592,2592,2592,2592,2592,2592,3.1562042236328125,2.6205368041992188,5.394996643066406,2.5419998168945313,3.8318862915039063,2.6775665283203125,2.64288330078125,5.312713623046875,86601024,711748182,609921195,3617795,8463335424,7247757312,3345391616,0
200,1708993699522,2592,2592,2592,2592,2592,2592,2592,2592,0.40943145751953125,0.17163848876953125,3.4774932861328125,0.14229583740234375,0.2257232666015625,0.21654510498046875,0.5881576538085938,0.1722869873046875,86602707,711749546,609921463,3617795,8463335424,7247757312,3345358848,0
201,1708993699723,2592,2592,2592,2592,2592,2592,2592,2592,11.437004089355469,7.4702911376953125,47.89338684082031,4.792762756347656,21.82604217529297,3.0961837768554688,19.261825561523438,3.3617401123046875,86605213,711783420,609951881,3617795,8463335424,7247757312,3370012672,0
200,1708993699924,2592,2592,2592,2592,2592,2592,2592,2592,67.2152099609375,62.892921447753906,79.30326843261719,64.80899047851563,69.6860122680664,57.03467559814453,64.69638061523438,61.3983039855957,86610007,711872315,610035536,3617933,8463335424,7247757312,3429588992,0
200,1708993700125,2592,2592,2592,2592,2592,2592,2592,2592,83.55622863769531,84.2933120727539,88.98787689208984,95.369140625,84.79467010498047,82.2578125,85.79157257080078,85.48822021484375,86616090,711973821,610129592,3619700,8463335424,7247757312,3527880704,0
200,1708993700325,2592,2592,2592,2592,2592,2592,2592,2592,44.491600036621094,29.170989990234375,46.2154541015625,59.950904846191406,62.030120849609375,24.31206512451172,41.74673843383789,68.13177490234375,86620710,712053777,610202206,3621790,8463335424,7247757312,3558899712,0
200,1708993700526,2592,2592,2592,2592,2592,2592,2592,2592,6.918281555175781,18.504005432128906,11.16192626953125,3.6603164672851563,12.692466735839844,1.68133544921875,83.7822494506836,5.530952453613281,86622917,712106190,610249566,3622032,8463335424,7247757312,3564126208,0
